JAPANESE SPELLING | ENGLISH SPELLING | SEARCH TAGS
にちよび | Sunday | general, medium, easy, hiragana, chap3, time
まいにち | Every Day | general, medium, hiragana, chap3, time, expression
まいばん | Every Night | general, medium, hiragana, chap3, time, expression
いく | To Go | general, easy, hiragana, chap3, verb
かえる | To Return | general, easy, hiragana, chap3, verb
きく | To Listen / Ask | general, easy, hiragana, chap3, verb, chap4
のむ | To Drink | general, easy, hiragana, chap3, verb
はなす | To Speak | general, easy, hiragana, chap3, verb
よむ | To Read | general, easy, hiragana, chap3, verb
おきる | To Wake Up | general, easy, hiragana, chap3, verb
たべる | To Eat | general, easy, hiragana, chap3, verb
ねる | To Sleep | general, easy, hiragana, chap3, verb
みる | To See | general, easy, hiragana, chap3, verb 
くる | To Come | general, easy, hiragana, chap3, verb 
する | To Do | general, easy, hiragana, chap3, verb 
べんきょうする | To Study | general, hard, hiragana, chap3, verb 
いい | Good | general, easy, hiragana, expression, adjective, chap3, chap5
はやい | Early | general, easy, hiragana, expression, adjective, chap3, chap5 
ぜんぜん | Not At All | easy, medium, chap3, expression, hiragana
あまり | Not Much | easy, chap3, expression, hiragana
たいてい | Usually | easy, medium, chap3, expression, hiragana
ちょっと | A Little |  medium, chap3, expression, hiragana
ときどき | Sometimes | easy, medium, chap3, expression, hiragana
よく | Often / Much | easy, chap3, expression, hiragana
そうですね | That's Right | medium, chap3, expression, hiragana
ども | But | easy, chap3, expression, hiragana
どうですか | How About...? | medium, chap3, expression, hiragana
アルイバイト | Part-Time Job | general, hard, katakana, chap4
かいもの | Shopping | medium, general, hiragana, chap4
クラス | Class | easy, chap4, katakana, general
あなた | You | easy, general, hiragana, chap4, expression, people
いす | Chair | easy, general, hiragana, chap4, object
いぬ | Dog | easy, general, hiragana, chap4
おみやげ | Souvenir | medium, general, hiragana, chap4, object
こども | Child | easy, general, hiragana, chap4, people
ごはん | Rice / Meal | easy, general, hiragana, chap4, food
しゃしん | Picture | medium, general, hiragana, chap4, object
つくえ | Desk | easy, medium, general, object, chap4, hiragana
たがみ | Letter | easy, medium, general, object, chap4, hiragana
ねこ | Cat | easy, general, hiragana, chap4
パン | Bread | easy, general, katakana, chap4, food
ひと | Person | easy, chap4, general, people, hiragana
メール | E-Mail | easy, medium, general, chap4, object, katakana
おてら | Temple | easy, medium, chap4, location, hiragana
こうえん | Park | easy, medium, chap4, general, location, hiragana
スーパー | Supermarket | easy, medium, chap4, location, katakana, general
デパート | Department Store | medium, chap4, location, katakana
バスてい | Bus Stop | hiragana, katakana, general, location, medium, chap4
びょういん | Hospital | medium, hard, hiragana, general, location, chap4
ホテル | Hotel | easy, general, location, chap4, katakana
ほにゃ | Bookstore | easy, medium, general, location, chap4, hiragana
まち | Town / City | easy, general, location, chap4, hiragana
レストラン | Restaurant | medium, hard, general, location, chap4, katakana
きのう | Yesterday | easy, medium, hiragana, general, expression, time, chap4
じかん | Hour | easy, medium, hiragana, general, time, chap4
せんしゅう | Last Week | medium, hard, hiragana, time, chap4
げつようび | Monday | medium, hard, hiragana, time, chap4
かようび | Tuesday | medium, hard, hiragana, time, chap4
すいようび | Wednesday | medium, hard, hiragana, time, chap4
もくようび | Thursday | medium, hard, hiragana, time, chap4
きにょうび | Friday | medium, hard, hiragana, time, chap4
あえ | To Meet | easy, hiragana, verb, chap4
ある | To Exist (Object) | easy, hiragana, verb, chap4
かう | To Buy | easy, hiragana, verb, chap4
かく | To Write | easy, hiragana, verb, chap4
とる | To Take (A Picture) | easy, hiragana, verb, chap4
まつ | To Wait | easy, hiragana, verb, chap4
わかる | To Understand | easy, medium, hiragana, verb, chap4
いる | To Exist (Something Living) | easy, hiragana, verb, chap4 
ぐらい | About (Approximately) | easy, hiragana, expression, chap4, time
ごめんなさい | Sorry | general, hard, hiragana, expression, chap4
だから | So... | medium, hiragana, expression, chap4
たくさん | Many / A Lot | medium, general, hiragana, expression, chap4
どうして | Why? | medium, hiragana, expression, chap4
ひとりで | Alone | medium, hiragana, expression, people, chap4
みぎ | Right | easy, hiragana, direction, chap4
ひだり | Left | easy, hiragana, direction, chap4
まえ | Front | easy, hiragana, direction, chap4
うしろ | Back | easy, hiragana, direction, chap4
なか | Inside | easy, hiragana, direction, chap4
うえ | On / Above | easy, hiragana, direction, chap4
した | Under | easy, hiragana, direction, chap4
ちかく | Nearby | easy, hiragana, direction, chap4
となり | Next | easy, hiragana, direction, chap4
あいだ | Between | easy, hiragana, direction, chap4 
うみ | Sea | easy, hiragana, location, chap5
きって | Postal Stamps | easy, hiragana, object, chap5 
きっぷ | Ticket | easy, hiragana, object, chap5 
サーフィン | Surfing | medium, hard, katakana, chap5, general
しゅくだい | Homework | medium, hard, hiragana, chap5, object
たべもの | Food | easy, medium, food, hiragana, chap5
たんじょうび | Birthday | hard, general, people, hiragana, chap5
テスト | Test | easy, katakana, chap5, object
てんき | Weather | easy, hiragana, chap5, general
のみもの | Beverage / Drink | easy, medium, food, hiragana, chap5, general
はがき | Postcard | easy, hiragana, object, chap5
バス | Bus | easy, katakana, object, chap5, general
ひこうき | Airplane | medium, object, chap5, hiragana, general
へや | Room | easy, hiragana, chap5, location, general
ぼく | I (Masculine) | easy, chap5, people, hiragana, general, expression
やすみ | Holiday / Day Off | easy, medium, general, hiragana, chap5, time
りょこう | Travel | medium, general, hiragana, chap5
